id,ofxx004_id,status_cobro,tipo_factura,ofgl100_id,status,numero,doc_ref,xref_table,xref_id,fecha,fecha_vencimiento,periodo_id,cliente,cliente_nombre,ofgl005_codigo,no_opp,po_cliente,moneda_trn,moneda_base,moneda_loc,monto_loc,monto_usd,monto_eur,monto_usd_2,monto_loc_2,tasa_cambio,tasa_cambio_ref,tasa_cambio_factura,iva,metodo_iva,tasa_igtf,monto_iva_loc,monto_iva_usd,monto_iva_eur,igtf_loc,igtf_usd,neto_loc,neto_usd,neto_eur,neto_xcob_loc,neto_xcob_usd,gravable_loc,gravable_usd,gravable_eur,exento_loc,exento_usd,exento_eur,descuento_monto_loc,descuento_monto_usd,descuento_monto_eur,descuento_tipo,descuento_valor,politica_credito,toprint,no_control,tasa_cambio_eur,total_aplicado_loc,total_aplicado_usd,total_aplicado_eur,saldo_pendiente_loc,saldo_pendiente_eur,ofgl010_id,saldo_pendiente_usd,fecha_estimada_cobro,cant_diferidos,forma_envio,observaciones,instrucciones_especiales,status_contable,status_antiguedad,ofcm120_id,userid_creacion,fecha_creacion,userid_modificacion,fecha_ult_modificacion,ofcm022_id,ofcm100_id,comentarios
1,1,N,F,NULL,A,AST-F-00000001,OF-000001,NULL,NULL,2025-07-16,2025-07-16,7,O002,"Optica Caroni",0100-000092,000092,5387,USD,USD,VEB,621159.86,5317.28,0.00,5317.28,NULL,116.819100,116.819100,NULL,IVA16,C,NULL,99385.02,850.76,NULL,NULL,NULL,720544.88,6168.04,NULL,720544.88,6168.04,621159.86,5317.28,NULL,0.00,0.00,NULL,0.00,0.00,NULL,,0.00,1,NULL,000000003,NULL,0.00,0.00,NULL,720544.88,NULL,NULL,6168.04,NULL,NULL,D,,,C,NULL,1,admin,"2025-07-17 08:08:29",NULL,NULL,NULL,NULL,NULL
2,1,N,T,0,A,AST-D-00000001,AST-F-00000001,NULL,NULL,2025-07-16,2025-07-16,7,O002,"Optica Caroni",0100-000092,000092,5387,VEB,USD,VEB,18634.80,159.52,0.00,NULL,18634.80,116.819100,0.000000,0.00,N/A,C,0.00,0.00,0.00,NULL,0.00,0.00,18634.80,159.52,NULL,18634.80,159.52,18634.80,159.52,NULL,0.00,0.00,NULL,0.00,0.00,NULL,P,0.00,1,,000000008,NULL,0.00,0.00,NULL,18634.80,NULL,0,159.52,NULL,0,F,,,,NULL,0,admin,"2025-07-18 16:19:35",,NULL,NULL,NULL,NULL
3,1,C,F,101,I,AST-F-00000002,,NULL,NULL,2025-07-21,2025-07-21,7,D081,"De Campo Automercados",0100-000107,000107,N/A,USD,USD,VEB,56980.23,481.71,0.00,481.71,NULL,118.287400,118.287400,0.00,IVA16,C,0.00,9116.41,77.07,NULL,0.00,0.00,66096.64,558.78,NULL,0.00,0.00,56980.23,481.71,NULL,0.00,0.00,NULL,0.00,0.00,NULL,N,0.00,1,,000000009,NULL,-66096.64,-558.78,NULL,0.00,NULL,0,0.00,NULL,0,F,,,,,0,mcarosella,"2025-07-21 18:24:12",,NULL,NULL,1,NULL
4,1,N,F,0,A,AST-F-00000003,,NULL,NULL,2025-07-22,2025-07-22,7,U001,"Universidad Metropolitana",0100-000094,000094,N/A,USD,USD,VEB,294210.12,2458.59,0.00,2458.59,NULL,119.666200,119.666200,0.00,IVA16,C,0.00,47073.09,393.37,NULL,0.00,0.00,341283.21,2851.96,NULL,0.00,0.00,294210.12,2458.59,NULL,0.00,0.00,NULL,0.00,0.00,NULL,N,0.00,1,,000000010,NULL,0.00,0.00,NULL,341283.21,NULL,0,2851.96,NULL,0,F,,,,NULL,0,mcarosella,"2025-07-22 16:54:39",mcarosella,"2025-07-22 16:56:35",NULL,NULL,NULL
5,1,C,F,106,I,AST-F-00000004,,NULL,NULL,2025-07-22,2025-07-22,7,C004,"C.A. Cerveceria Regional",0100-000113,000113,N/A,USD,USD,VEB,5253346.18,43900.00,0.00,43900.00,NULL,119.666200,119.666200,0.00,IVA16,C,0.00,840535.39,7024.00,NULL,0.00,0.00,6093881.57,50924.00,NULL,0.00,0.00,5253346.18,43900.00,NULL,0.00,0.00,NULL,0.00,0.00,NULL,N,0.00,1,,000000011,NULL,-6093881.57,-50924.00,NULL,0.00,NULL,0,0.00,NULL,0,F,,,,NULL,0,mcarosella,"2025-07-22 17:06:25",mcarosella,"2025-07-22 17:07:50",NULL,2,NULL
6,1,C,F,107,I,AST-F-00000005,,NULL,NULL,2025-07-22,2025-07-22,7,B003,"Banco Activo C.A., Banco Universal",0100-000112,000112,CA2025-0113,USD,USD,VEB,3077462.85,25717.06,0.00,25717.06,NULL,119.666200,119.666200,0.00,IVA16,C,0.00,492394.09,4114.73,NULL,0.00,0.00,3569856.94,29831.79,NULL,0.00,0.00,3077462.85,25717.06,NULL,0.00,0.00,NULL,0.00,0.00,NULL,N,0.00,1,,000000012,NULL,-3569856.94,-29831.79,NULL,0.00,NULL,0,0.00,NULL,0,F,,,,,0,mcarosella,"2025-07-23 09:53:57",mcarosella,"2025-07-23 16:06:23",NULL,3,NULL
7,1,N,F,0,A,AST-F-00000006,,NULL,NULL,2025-07-29,2025-07-29,7,O002,"Optica Caroni",0100-000092,000092,5387,VEB,USD,VEB,653178.93,5317.28,0.00,NULL,653178.93,122.840800,0.000000,0.00,IVA16,C,0.00,104508.63,850.76,NULL,0.00,0.00,757687.56,6168.04,NULL,0.00,0.00,653178.93,5317.28,NULL,0.00,0.00,NULL,0.00,0.00,NULL,N,0.00,1,,,NULL,0.00,0.00,NULL,757687.56,NULL,0,6168.04,NULL,0,F,,,,NULL,0,mcarosella,"2025-07-29 13:35:34",mcarosella,"2025-07-29 13:37:52",NULL,NULL,NULL
8,1,C,F,108,I,AST-F-00000007,,NULL,NULL,2025-07-29,2025-07-29,7,O002,"Optica Caroni",0100-000092,000092,5387,VEB,USD,VEB,653178.93,5317.28,0.00,NULL,653178.93,122.840800,0.000000,0.00,IVA16,C,0.00,104508.63,850.76,NULL,0.00,0.00,757687.56,6168.04,NULL,0.00,0.00,653178.93,5317.28,NULL,0.00,0.00,NULL,0.00,0.00,NULL,N,0.00,1,,000000013,NULL,-757687.56,-6168.04,NULL,0.00,NULL,0,0.00,NULL,0,F,,,,,0,mcarosella,"2025-07-29 13:39:02",mcarosella,"2025-07-29 13:40:13",NULL,4,NULL
9,1,N,T,109,A,AST-D-00000002,,NULL,NULL,2025-07-29,2025-07-29,7,O002,"Optica Caroni",0100-000092,000092,5387,VEB,USD,VEB,19595.56,159.52,0.00,NULL,19595.56,122.840800,0.000000,0.00,N/A,C,0.00,0.00,0.00,NULL,0.00,0.00,19595.56,159.52,NULL,0.00,0.00,19595.56,159.52,NULL,0.00,0.00,NULL,0.00,0.00,NULL,P,0.00,1,,000000014,NULL,-19595.56,-159.52,NULL,0.00,NULL,0,0.00,NULL,0,F,,,,NULL,0,gbelisario,"2025-07-29 15:53:19",,NULL,NULL,NULL,NULL
10,1,C,F,110,I,AST-F-00000009,,NULL,NULL,2025-07-30,2025-07-30,7,A001,"Alimentos Polar Comercial, C.A.",0100-000124,000124,4513734485,USD,USD,VEB,2382288.83,19231.89,0.00,19231.89,NULL,123.871800,123.871800,0.00,IVA16,I,0.00,381166.21,3077.10,NULL,0.00,0.00,2763455.04,22308.99,NULL,0.00,0.00,2382288.83,19231.89,NULL,0.00,0.00,NULL,0.00,0.00,NULL,N,0.00,1,,000000016,NULL,-2763455.04,-22308.99,NULL,0.00,NULL,0,0.00,NULL,0,F,,,,NULL,0,mcarosella,"2025-07-30 12:01:10",mcarosella,"2025-07-30 12:41:35",NULL,5,NULL
