id,ofcm020_id,moneda,ofgl005_codigo,ofin009_id,descripcion,cantidad,precio_un_usd,precio_un_loc,precio_un_eur,total_usd,total_loc,total_eur,tasa_cambio,tasa_cambio_eur,iva,iva_tasa,iva_loc,iva_usd,iva_eur,gravable_loc,gravable_usd,gravable_eur,exento_loc,exento_usd,exento_eur,xref_ic
1,1,USD,0100-000092,#SIT-SIN,"Contrato de Soporte  (Período Julio - Septiembre 2025)",1,5317.28,621159.86,0.00,5317.28,621159.86,0.00,116.819100,0.000000,IVA16,16.00,99385.02,850.76,0.00,621159.86,5317.28,NULL,0.00,0.00,NULL,NULL
2,2,VEB,0100-000092,*IGT-001,"Impuesto a las Grandes Transacciones Financieras
correspondiente al 3% del pago de la Factura No. 00000001
por un monto de US$ 5.317.28
realizado en fecha: 16/07/2025
según Gaceta Oficial No. 42.339 de fecha 17 de marzo de 2022",1,159.52,18634.80,0.00,159.52,18634.80,0.00,116.819100,0.000000,N/A,0.00,0.00,0.00,0.00,18634.80,159.52,NULL,0.00,0.00,NULL,0
3,3,USD,0100-000107,3G632A,"HP Impresora 3103FDW Laserjet MFP",1,398.95,47190.76,0.00,398.95,47190.76,0.00,118.287400,0.000000,IVA16,16.00,7550.28,63.83,0.00,47190.76,398.95,NULL,0.00,0.00,NULL,0
4,3,USD,0100-000107,W1450A,"Cartucho de toner HP Laser Jet 145A",1,82.76,9789.47,0.00,82.76,9789.47,0.00,118.287400,0.000000,IVA16,16.00,1566.13,13.24,0.00,9789.47,82.76,NULL,0.00,0.00,NULL,0
5,4,USD,0100-000094,#OUT-SIN,"Servicios de Administración delegada Mes de Julio 2025",1,2458.59,294210.12,0.00,2458.59,294210.12,0.00,119.666200,0.000000,IVA16,16.00,47073.09,393.37,0.00,294210.12,2458.59,NULL,0.00,0.00,NULL,0
6,5,USD,0100-000113,#OUT-SIN,"Servicios de Administración delegada Lote IV  mes de Junio 2025",1,43900.00,5253346.18,0.00,43900.00,5253346.18,0.00,119.666200,0.000000,IVA16,16.00,840535.39,7024.00,0.00,5253346.18,43900.00,NULL,0.00,0.00,NULL,0
7,6,USD,0100-000112," P0Q48-60011","HP V202 Monitor",48,50.96,6098.19,0.00,2446.08,292713.10,0.00,119.666200,0.000000,IVA16,16.00,46833.76,391.37,0.00,292713.10,2446.08,NULL,0.00,0.00,NULL,0
8,6,USD,0100-000112,A5V72-60011,"HP LV1911 Monitor",10,50.96,6098.19,0.00,509.60,60981.90,0.00,119.666200,0.000000,IVA16,0.00,9757.58,81.54,0.00,60981.90,509.60,NULL,0.00,0.00,NULL,0
9,6,USD,0100-000112,T3U81-60008,"HP 19ka Monitor",33,50.96,6098.19,0.00,1681.68,201240.26,0.00,119.666200,0.000000,IVA16,16.00,32198.58,269.07,0.00,201240.26,1681.68,NULL,0.00,0.00,NULL,0
10,6,USD,0100-000112,QV985AV#470,"HP Compaq PRO 6300 SFF, Intel Core i5 4590 3,0GHz (Sin Memoria, Discos Mecanico sin Sistema Operativo",100,81.54,9757.58,0.00,8154.00,975758.19,0.00,119.666200,0.000000,IVA16,16.00,156121.31,1304.64,0.00,975758.19,8154.00,NULL,0.00,0.00,NULL,0
