id,codigo,descripcion,descripcion_compras,tipo,ofin006_id,ofin001_id,ofpr010_id,ofin005_id,ofcm002_codigo,oftx020_id,categoria_fiscal,cant_disponible,observaciones,status,userid_creacion,fecha_creacion,fecha_ult_modificacion,userid_modificacion
1,*ALQ-001,"Arrendamiento de Oficina Torre Chacao 19-02 Piso 7","Arrendamiento de Oficina Torre Chacao 19-02 Piso 7",S,NULL,33,8,2,,0,G,0,,A,admin,"2025-07-10 17:21:34",NULL,
2,*GRD-001,"Gastos Reembolsables Alquiler de Oficina","Gastos Reembolsables Alquiler de Oficina",S,NULL,38,8,2,,0,G,0,,A,admin,"2025-07-11 07:35:13",NULL,
3,R9W90A,"HPE ANW 8100-48XF4C FB3F2AC Bdl","HPE ANW 8100-48XF4C FB3F2AC Bdl",P,1,2,2,1,HWR,0,G,0,,A,mcarosella,"2025-07-14 10:49:34",NULL,
4,R9W90A#ABA,"HPE ANW 8100-48XF4C FB3F2AC Bdl US en","HPE ANW 8100-48XF4C FB3F2AC Bdl US en",P,1,2,2,1,HWR,0,G,0,,A,mcarosella,"2025-07-14 10:59:25",NULL,
5,H84A3E,"Aruba 3Y FC 4H OS HW 8100 40/48p SVC","Aruba 3Y FC 4H OS HW 8100 40/48p SVC",I,1,73,2,1,CPS,0,G,0,,A,mcarosella,"2025-07-14 11:06:13",NULL,
6,J9150D,"Aruba 10G SFP+ LC SR 300m MMF XCVR","Aruba 10G SFP+ LC SR 300m MMF XCVR",P,1,2,2,1,HWR,0,G,0,,A,mcarosella,"2025-07-14 11:09:23",NULL,
7,J9151E,"Aruba 10G SFP+ LC LR 10km SMF XCVR","Aruba 10G SFP+ LC LR 10km SMF XCVR",P,1,2,2,1,HWR,0,G,0,,A,mcarosella,"2025-07-14 11:09:56",NULL,
8,J8177E,"HPE ANW 1G SFP RJ45 100m XCVR","HPE ANW 1G SFP RJ45 100m XCVR",P,1,2,2,1,HWR,0,G,0,,A,mcarosella,"2025-07-14 11:10:25",NULL,
9,J4859D,"Aruba 1G SFP LC LX 10km SMF XCVR","Aruba 1G SFP LC LX 10km SMF XCVR",P,1,2,2,1,HWR,0,G,0,,A,mcarosella,"2025-07-14 11:10:53",NULL,
10,JL728B,"HPE ANW 6200F 48G C4 4SFP+740W Sw","HPE ANW 6200F 48G C4 4SFP+740W Sw",P,1,2,2,1,HWR,0,G,0,,A,mcarosella,"2025-07-14 11:12:13",NULL,
11,JL728B#ABA,"HPE ANW 6200F 48G C4 4SFP+740W Sw US en","HPE ANW 6200F 48G C4 4SFP+740W Sw US en",P,1,2,2,1,HWR,0,G,0,,A,mcarosella,"2025-07-14 11:12:53",NULL,
12,H81Y2E,"Aruba 3Y FC NBDExchHW 6200F48GPoE+740SVC","Aruba 3Y FC NBDExchHW 6200F48GPoE+740SVC",I,1,73,2,1,CPS,0,G,0,,A,mcarosella,"2025-07-14 11:13:24",NULL,
13,J9281D,"Aruba 10G SFP+ to SFP+ 1m DAC Cable","Aruba 10G SFP+ to SFP+ 1m DAC Cable",P,1,2,2,1,HWR,0,G,0,,A,mcarosella,"2025-07-14 11:13:52",NULL,
14,JL725B,"HPE ANW 6200F 24G C4 4SFP+370W Sw","HPE ANW 6200F 24G C4 4SFP+370W Sw",P,1,2,2,1,HWR,0,G,0,,A,mcarosella,"2025-07-14 11:14:22",NULL,
15,JL725B#ABA,"HPE ANW 6200F 24G C4 4SFP+370W Sw US en","HPE ANW 6200F 24G C4 4SFP+370W Sw US en",P,1,2,2,1,HWR,0,G,0,,A,mcarosella,"2025-07-14 11:14:53",NULL,
